"Object Designation  ","Date (yyyy-mm-dd.dd)","Distance (rEarth)","Width (rEarth)","Sigma Impact  ","Sigma LOV  ","Stretch LOV (rEarth)","Impact Probability  ","Impact Energy (Mt)","Palermo Scale  ","Torino Scale  ",""
"(2010 CR5)","2075-12-17.24","5.19","5.87e+0","0.714","2.30255","1.01e+6","4.0e-9","5.050e+03","-5.68","0","bK10C05R"
"(2015 ME131)","2030-08-18.50","20.49","6.41e+2","0.030","0.73210","1.17e+6","5.1e-10","1.031e+04","-5.68","0","bK15MD1E"
"(2016 NL56)","2070-08-16.63","6.55","5.79e+0","0.957","-1.00769","2.47e+5","1.1e-7","7.169e+01","-5.68","0","bK16N56L"
"(2016 NL56)","2057-08-31.00","27.24","3.65e+1","0.719","-0.48456","3.10e+5","2.9e-8","2.607e+02","-5.68","0","bK16N56L"
"(2016 NL56)","2040-08-12.90","16.56","1.88e+1","0.828","-1.18530","1.43e+5","6.1e-8","5.300e+01","-5.68","0","bK16N56L"
"(2016 NL56)","2031-09-13.75","150.61","8.94e+2","0.167","-0.19022","1.63e+5","3.3e-9","1.117e+03","-5.68","0","bK16N56L"
"(2002 MN)","2109-06-15.88","0.56","1.70e-3","0.000","-1.44585","3.56e+5","6.5e-7","1.468e+01","-5.69","0","bK02M00N"
"410777 (2009 FD)","2191-03-30.30","0.47","< 1.e-04","0.000","0.566","3.14e+6","2.0e-7","1.447e+02","-5.69","","a0410777"
"(2016 WG)","2101-06-24.08","0.66","4.28e-3","0.000","0.90263","1.61e+6","2.5e-7","4.509e+01","-5.69","0","bK16W00G"
"(2016 WG)","2088-06-23.29","0.42","4.50e-3","0.000","1.99727","4.69e+5","2.1e-7","4.479e+01","-5.69","0","bK16W00G"
"(2007 FT3)","2099-10-03.74","52.67","4.32e+1","1.195","-0.90621","4.13e+5","8.9e-9","2.740e+03","-5.70","0","bK07F03T"
"(2008 UB7)","2056-10-31.69","0.81","< 1.e-04","0.000","-0.22382","1.61e+6","2.8e-7","1.447e+01","-5.70","0","bK08U07B"
"(2008 UV99)","2082-03-29.33","46.87","2.92e+1","1.570","0.49492","7.71e+5","5.5e-9","3.691e+03","-5.70","0","bK08U99V"
"(2007 FT3)","2105-10-04.29","39.47","4.76e+1","0.808","-0.88895","5.29e+5","9.5e-9","2.736e+03","-5.70","0","bK07F03T"
"(2017 FB1)","2111-03-04.13","0.69","2.08e-1","0.000","0.99326","1.01e+6","3.2e-7","3.652e+01","-5.70","0","bK17F01B"
"(2015 ME131)","2034-08-18.47","28.89","6.48e+2","0.043","0.73029","9.33e+5","6.4e-10","1.028e+04","-5.70","0","bK15MD1E"
"(2015 RN35)","2079-12-16.04","0.42","7.86e-3","0.000","-0.78783","1.30e+6","4.1e-7","1.579e+01","-5.70","0","bK15R35N"
"(2007 FT3)","2084-10-03.09","7.71","4.92e+1","0.136","-0.77699","1.05e+6","7.1e-9","2.716e+03","-5.71","0","bK07F03T"
"(2007 WP3)","2098-11-11.51","0.50","3.93e-3","0.000","-0.56571","1.04e+6","5.7e-7","1.424e+01","-5.71","0","bK07W03P"
"(2008 EX5)","2068-10-08.98","0.49","1.52e-2","0.000","-0.64028","9.08e+5","6.2e-7","7.272e+00","-5.71","0","bK08E05X"
"(2015 ME131)","2031-08-18.74","23.46","6.43e+2","0.035","0.73154","1.17e+6","5.1e-10","1.031e+04","-5.71","0","bK15MD1E"
"410777 (2009 FD)","2198-03-29.99","0.43","< 1.e-04","0.000","0.564","3.19e+6","2.0e-7","1.449e+02","-5.71","","a0410777"
"(2017 FO128)","2109-03-16.01","0.64","1.57e-2","0.000","-1.18204","1.88e+6","1.6e-7","7.564e+01","-5.72","0","bK17FC8O"
"(2008 UV99)","2024-03-30.10","85.50","3.21e+1","2.634","0.53485","7.67e+5","5.1e-10","4.165e+03","-5.72","0","bK08U99V"
"(2016 WN55)","2063-09-13.28","23.72","1.46e+2","0.156","-0.52741","1.07e+6","2.7e-9","5.397e+03","-5.72","0","bK16W55N"
"(2017 GM7)","2103-06-21.17","5.70","4.32e+0","1.087","-2.77842","6.67e+5","1.5e-9","2.398e+04","-5.72","0","bK17G07M"
"(2016 NL56)","2077-08-15.80","1.65","1.89e+1","0.035","-1.04820","1.28e+5","1.2e-7","6.678e+01","-5.73","0","bK16N56L"
"(2007 FT3)","2084-10-03.03","27.18","4.74e+1","0.553","-0.81548","9.67e+5","6.6e-9","2.724e+03","-5.74","0","bK07F03T"
"(2000 WJ107)","2114-11-19.98","0.37","1.11e-2","0.000","-1.08428","1.00e+6","4.1e-7","2.430e+01","-5.74","0","bK00WA7J"
"(2017 FO128)","2109-03-15.99","0.70","< 1.e-04","0.000","0.38568","3.35e+6","1.6e-7","7.615e+01","-5.74","0","bK17FC8O"
"(2015 ME131)","2035-08-18.72","29.19","6.51e+2","0.043","0.73013","9.55e+5","6.2e-10","1.028e+04","-5.74","0","bK15MD1E"
"(2015 ME131)","2033-08-18.23","26.35","6.46e+2","0.039","0.73065","1.08e+6","5.5e-10","1.029e+04","-5.74","0","bK15MD1E"
"(2015 ME131)","2032-08-17.99","24.12","6.45e+2","0.036","0.73107","1.15e+6","5.2e-10","1.029e+04","-5.74","0","bK15MD1E"
"(2016 NL56)","2021-02-13.16","182.86","2.98e+2","0.611","-1.49928","3.53e+4","1.2e-8","3.389e+01","-5.74","0","bK16N56L"
"(2016 WN55)","2069-09-12.83","31.45","1.46e+2","0.209","-0.52669","1.01e+6","2.9e-9","5.391e+03","-5.75","0","bK16W55N"
"(2017 FO128)","2104-03-15.82","0.72","1.22e-2","0.000","-2.71250","9.60e+4","1.5e-7","7.517e+01","-5.75","0","bK17FC8O"
"(2007 FT3)","2084-10-03.03","27.57","4.64e+1","0.573","-0.81981","1.03e+6","6.2e-9","2.725e+03","-5.76","0","bK07F03T"
"(2012 ES10)","2059-03-05.44","0.07","1.57e-2","0.000","1.13761","2.67e+6","1.6e-7","2.696e+01","-5.76","0","bK12E10S"
"(2014 MV67)","2025-03-26.22","97.02","9.15e+1","1.050","0.22462","9.68e+6","3.1e-10","7.931e+03","-5.76","0","bK14M67V"
"(2015 BS516)","2032-09-16.76","75.03","2.10e+2","0.352","-0.93168","8.18e+5","1.8e-9","2.115e+03","-5.76","0","bK15Bp6S"
"(2016 WN55)","2057-09-12.76","20.32","1.45e+2","0.133","-0.52810","1.36e+6","2.2e-9","5.407e+03","-5.76","0","bK16W55N"
"(2016 NL56)","2033-08-14.55","17.80","8.87e+0","1.893","-1.10115","1.28e+5","3.2e-8","6.093e+01","-5.76","0","bK16N56L"
"(2016 WN55)","2051-09-13.24","18.27","1.45e+2","0.119","-0.52880","1.64e+6","1.8e-9","5.422e+03","-5.77","0","bK16W55N"
"(2016 NL56)","2063-09-01.63","23.40","2.68e+1","0.835","-0.46611","4.35e+5","2.6e-8","2.778e+02","-5.77","0","bK16N56L"
"(2015 HV182)","2019-10-09.96","93.49","2.82e+2","0.328","-0.03398","5.83e+5","2.9e-9","1.129e+02","-5.78","0","bK15HI2V"
"(2007 FT3)","2062-10-03.51","15.88","4.67e+1","0.318","-0.79366","1.83e+6","4.0e-9","2.719e+03","-5.78","0","bK07F03T"
"(2016 WN55)","2075-09-12.63","130.79","1.55e+2","0.838","-0.55750","6.80e+5","2.8e-9","5.785e+03","-5.78","0","bK16W55N"
"(2016 WN55)","2045-09-12.71","13.63","1.46e+2","0.086","-0.52963","2.03e+6","1.5e-9","5.431e+03","-5.78","0","bK16W55N"
"(2016 NL56)","2027-02-15.25","149.94","3.74e+2","0.399","-0.65370","1.15e+5","8.6e-9","1.563e+02","-5.78","0","bK16N56L"
"(2015 HV182)","2017-09-18.14","7.51","1.05e+3","0.006","0.08979","3.72e+6","1.3e-10","6.464e+02","-5.78","0","bK15HI2V"
"(2008 UV99)","2090-03-30.13","24.45","3.34e+1","0.702","0.51693","2.18e+6","4.6e-9","3.944e+03","-5.80","0","bK08U99V"
"(2010 JA43)","2023-01-07.55","15.31","1.33e+2","0.108","-1.74274","2.36e+5","3.5e-9","2.371e+02","-5.80","0","bK10J43A"
"(2011 BT59)","2091-04-12.10","4.67","1.75e+0","2.099","-1.39791","6.90e+5","5.5e-9","3.242e+03","-5.80","0","bK11B59T"
"(2016 NL56)","2051-08-29.27","25.04","1.17e+1","2.061","-0.54418","1.65e+5","2.2e-8","2.143e+02","-5.80","0","bK16N56L"
"(2007 FT3)","2050-10-03.17","125.02","5.29e+1","2.345","-1.07320","1.20e+5","2.7e-9","2.767e+03","-5.81","0","bK07F03T"
"(2010 MY112)","2022-12-18.70","64.83","4.09e+2","0.156","-0.25759","1.69e+6","6.9e-10","1.690e+03","-5.81","0","bK10MB2Y"
"101955 Bennu (1999 RQ36)","2197-09-24.80","0.01","< 1.e-04","0.000","-2.883","8.62e+5","3.1e-8","1.151e+03","-5.81","","a0101955"
"(2016 WG)","2091-06-23.35","0.34","4.81e-3","0.000","-0.46307","4.11e+6","1.6e-7","4.500e+01","-5.81","0","bK16W00G"
"(2016 NL56)","2050-08-15.01","13.75","1.25e+1","1.024","-1.08961","2.06e+5","5.7e-8","6.209e+01","-5.81","0","bK16N56L"
"(2015 HV182)","2019-02-07.14","159.23","1.80e+2","0.880","0.03572","2.03e+6","9.2e-10","2.862e+02","-5.81","0","bK15HI2V"
"(2010 CR5)","2062-01-01.06","3.93","1.40e+0","2.093","-0.38641","4.82e+6","2.0e-9","5.903e+03","-5.82","0","bK10C05R"
"(2016 NL56)","2034-09-14.42","173.48","1.15e+3","0.150","-0.17002","1.66e+5","2.6e-9","1.304e+03","-5.82","0","bK16N56L"
"(2017 GM7)","2103-06-21.16","4.47","4.44e+0","0.783","-2.88859","8.55e+5","1.2e-9","2.401e+04","-5.82","0","bK17G07M"
"(2017 FO63)","2088-11-13.74","0.44","9.62e-3","0.000","-1.95990","1.03e+6","1.3e-7","5.524e+01","-5.83","0","bK17F63O"
"(2017 FO63)","2088-11-13.74","0.28","4.23e-2","0.000","-1.95979","1.09e+6","1.3e-7","5.524e+01","-5.83","0","bK17F63O"
"(2015 ME131)","2030-08-20.01","185.76","5.95e+2","0.311","0.80393","1.79e+6","3.3e-10","1.181e+04","-5.83","0","bK15MD1E"
"(2017 FB1)","2109-03-04.16","0.12","2.36e-1","0.000","1.67043","8.71e+5","2.2e-7","3.761e+01","-5.84","0","bK17F01B"
"(2016 WN55)","2048-09-11.75","145.80","1.50e+2","0.962","-0.55866","1.32e+6","1.3e-9","5.799e+03","-5.84","0","bK16W55N"
"(2010 CA55)","2034-07-08.97","5.77","5.25e+0","0.908","-2.28896","5.03e+5","7.9e-9","2.847e+02","-5.85","0","bK10C55A"
"(2010 WC9)","2077-05-15.52","1.50","6.17e-1","0.802","0.21803","3.73e+5","2.9e-7","1.528e+01","-5.85","0","bK10W09C"
"(2016 NL56)","2061-08-11.07","13.58","6.52e+1","0.193","-1.32056","3.36e+4","9.1e-8","4.328e+01","-5.85","0","bK16N56L"
"(2016 WN55)","2081-09-12.19","109.72","1.50e+2","0.724","-0.55357","8.25e+5","2.6e-9","5.732e+03","-5.86","0","bK16W55N"
"(2015 YV20)","2023-05-08.05","71.98","1.21e+2","0.587","-0.42993","2.37e+5","1.3e-8","3.878e+01","-5.87","0","bK15Y20V"
"(2016 WN55)","2060-09-13.08","139.89","1.47e+2","0.946","-0.50258","1.01e+6","1.9e-9","5.109e+03","-5.87","0","bK16W55N"
"(2015 HV182)","2018-09-19.04","155.40","1.43e+2","1.078","-0.33736","1.40e+6","1.3e-9","1.170e+02","-5.87","0","bK15HI2V"
"(2017 DC120)","2021-01-30.79","54.38","2.38e+2","0.224","-1.02419","2.54e+5","4.8e-9","7.668e+01","-5.87","0","bK17DC0C"
"(2016 NL56)","2030-02-16.78","195.21","3.57e+2","0.544","-0.53679","1.51e+5","6.8e-9","2.196e+02","-5.88","0","bK16N56L"
"(2007 FT3)","2030-10-03.69","65.61","4.61e+1","1.403","-0.52780","3.66e+6","9.4e-10","2.670e+03","-5.89","0","bK07F03T"
"(2016 WN55)","2078-09-13.46","110.14","1.22e+2","0.892","-0.51023","9.38e+5","2.5e-9","5.204e+03","-5.89","0","bK16W55N"
"(2007 WP3)","2109-11-12.30","0.57","4.50e-3","0.000","1.91006","2.64e+5","4.0e-7","1.425e+01","-5.91","0","bK07W03P"
"(2008 EX5)","2074-10-09.49","0.54","7.86e-3","0.000","-0.57289","1.30e+6","4.4e-7","7.286e+00","-5.91","0","bK08E05X"
"(2007 FT3)","2112-10-04.28","47.21","4.85e+1","0.952","-0.63999","8.16e+5","6.4e-9","2.690e+03","-5.91","0","bK07F03T"
"(2016 NL56)","2105-03-30.01","72.74","9.16e+2","0.078","-0.06587","1.20e+5","4.5e-9","3.699e+03","-5.91","0","bK16N56L"
"(2015 HV182)","2054-10-22.57","87.54","9.28e+1","0.932","-0.05637","8.87e+4","3.9e-8","8.825e+01","-5.91","0","bK15HI2V"
"(2015 HV182)","2019-12-28.89","147.39","3.41e+2","0.429","-0.02988","6.05e+5","2.2e-9","1.182e+02","-5.91","0","bK15HI2V"
"(2016 WG)","2110-06-24.79","0.04","4.61e-3","0.000","1.49191","1.60e+6","1.6e-7","4.486e+01","-5.91","0","bK16W00G"
"(2010 MA113)","2049-07-23.63","125.01","9.56e+1","1.298","2.33417","2.03e+3","1.1e-7","1.818e+01","-5.93","0","bK10MB3A"
"(2010 DG77)","2018-01-11.27","129.32","6.57e+1","1.954","0.03029","2.59e+6","4.2e-10","1.794e+02","-5.93","0","bK10D77G"
"(2000 WJ107)","2114-11-19.98","0.24","1.04e-2","0.000","-1.29254","1.29e+6","2.6e-7","2.426e+01","-5.94","0","bK00WA7J"
"(2010 MA113)","2077-01-24.58","4.38","2.38e+0","1.422","1.82604","1.32e+5","6.7e-8","7.358e+01","-5.94","0","bK10MB3A"
"(2000 WJ107)","2114-11-19.98","0.35","7.86e-3","0.000","0.29562","2.80e+6","2.6e-7","2.445e+01","-5.95","0","bK00WA7J"
"(2008 UV99)","2058-03-29.98","14.97","3.25e+1","0.430","0.51508","6.65e+6","1.8e-9","3.919e+03","-5.95","0","bK08U99V"
"(2012 ES10)","2059-03-05.46","0.38","1.57e-2","0.000","1.14252","3.81e+6","1.0e-7","2.695e+01","-5.95","0","bK12E10S"
"(2015 ME131)","2034-08-17.21","175.06","6.26e+2","0.278","0.66492","1.58e+6","3.9e-10","9.157e+03","-5.95","0","bK15MD1E"
"(2016 WG)","2101-06-24.09","0.33","3.93e-3","0.000","0.94407","3.59e+6","1.3e-7","4.509e+01","-5.95","0","bK16W00G"
"(2016 NL56)","2043-08-16.68","13.27","6.90e+0","1.779","-1.01638","2.29e+5","2.9e-8","7.062e+01","-5.95","0","bK16N56L"
"(2000 WJ107)","2114-11-19.98","0.65","8.78e-3","0.000","-0.92709","1.56e+6","2.5e-7","2.432e+01","-5.96","0","bK00WA7J"
"(2007 WP3)","2113-11-12.29","0.43","< 1.e-04","0.000","-0.63176","1.54e+6","3.8e-7","1.421e+01","-5.96","0","bK07W03P"
"(2016 WN55)","2083-09-13.15","4.03","1.51e+2","0.020","-0.53190","1.29e+6","2.2e-9","5.464e+03","-5.96","0","bK16W55N"
"(2010 XB73)","2044-06-01.39","17.48","4.06e+1","0.406","-1.27334","8.89e+4","5.6e-8","3.169e+01","-5.96","0","bK10X73B"
"101955 Bennu (1999 RQ36)","2193-09-25.67","0.12","< 1.e-04","0.000","2.585","2.72e+6","2.1e-8","1.151e+03","-5.96","","a0101955"
"(2010 MA113)","2049-07-23.63","125.03","9.29e+1","1.335","2.33236","2.19e+3","1.0e-7","1.828e+01","-5.97","0","bK10MB3A"
"(2016 NL56)","2053-08-16.94","7.63","8.20e+0","0.808","-0.98476","6.42e+5","3.7e-8","7.486e+01","-5.97","0","bK16N56L"
"(2007 FT3)","2047-10-03.93","46.08","4.63e+1","0.974","-0.60635","3.15e+6","1.7e-9","2.683e+03","-5.98","0","bK07F03T"
"(2015 BS516)","2035-09-16.40","91.20","2.73e+2","0.330","-0.96485","8.67e+5","1.3e-9","2.118e+03","-5.98","0","bK15Bp6S"
"(2005 TM173)","2017-12-13.78","113.95","5.59e+1","2.021","-0.65034","2.08e+5","4.3e-9","7.369e+00","-5.98","0","bK05TH3M"
"(2007 FT3)","2090-10-03.71","37.93","4.81e+1","0.767","-0.64999","1.52e+6","4.1e-9","2.693e+03","-5.99","0","bK07F03T"
