Object,Close-Approach (CA) Date,CA Distance Nominal (LD | au),CA Distance Minimum (LD | au),V relative (km/s),V infinity (km/s),H (mag),Estimated Diameter,
(2015 SY),1904-Sep-16 04:24ξαξξξξ02:41,13.27 | 0.03411,5.06 | 0.01299,13.97,13.97,23.3,58 m -  130 m,bK15S00Y
(2001 GO2),1904-Sep-16 16:00ξαξ1_11:42,15.14 | 0.03889,11.39 | 0.02927,5.81,5.8,24.3,37 m -   82 m,bK01G02O
162120 (1998 SH36),1904-Oct-09 12:24ξαξ< 00:01,19.38 | 0.04979,19.37 | 0.04976,19.08,19.08,20.6,200 m -  450 m,a0162120
(2003 SS84),1904-Oct-10 11:30ξαξξξξ00:02,11.45 | 0.02941,11.44 | 0.02939,12.41,12.4,21.8,120 m -  260 m,bK03S84S
454100 (2013 BO73),1904-Oct-27 00:33ξαξξξξ00:24,15.16 | 0.03895,14.96 | 0.03844,11.25,11.24,20.1,250 m -  570 m,a0454100
(2004 HQ1),1904-Oct-28 15:03ξαξ1_14:04,8.35 | 0.02145,3.67 | 0.00943,8.38,8.37,23.1,64 m -  140 m,bK04H01Q
260141 (2004 QT24),1904-Oct-29 23:26ξαξ< 00:01,2.30 | 0.00590,2.29 | 0.00589,11.5,11.46,18.3,580 m -  1.3 km,a0260141
(2002 VX91),1904-Oct-31 07:30ξαξξξξ00:14,3.35 | 0.00861,2.73 | 0.00702,6.38,6.33,24.3,37 m -   82 m,bK02V91X
(2006 WB),1904-Nov-09 03:00ξαξ1_21:39,15.50 | 0.03984,12.58 | 0.03231,4.14,4.13,22.8,73 m -  160 m,bK06W00B
(2006 WJ3),1904-Nov-15 02:29ξαξξξξ00:02,7.93 | 0.02037,7.92 | 0.02036,10.26,10.25,20,270 m -  590 m,bK06W03J
(2005 WX),1904-Nov-19 14:34ξαξ2_23:24,4.22 | 0.01084,3.18 | 0.00817,5.49,5.45,26.9,11 m -   25 m,bK05W00X
(2004 XL14),1904-Dec-19 20:59ξαξ< 00:01,11.33 | 0.02911,11.33 | 0.02911,13.84,13.83,21.2,150 m -  340 m,bK04X14L
54509 YORP (2000 PH5),1904-Dec-23 10:55ξαξ< 00:01,19.22 | 0.04939,19.22 | 0.04938,8.48,8.47,22.7,77 m -  170 m,a0054509
(2013 AG53),1904-Dec-27 20:59ξαξ1_22:49,16.81 | 0.04320,16.73 | 0.04300,3.57,3.55,24.9,28 m -   62 m,bK13A53G
(2016 PO38),1905-Jan-19 13:35ξαξξξξ09:43,16.30 | 0.04187,14.96 | 0.03844,15.08,15.08,22.1,100 m -  230 m,bK16P38O
(2008 RU),1905-Jan-22 09:48ξαξ< 00:01,17.87 | 0.04591,17.86 | 0.04591,16.61,16.6,22.4,88 m -  200 m,bK08R00U
487583 (2015 FJ36),1905-Jan-29 20:30ξαξξξξ00:31,14.21 | 0.03652,13.75 | 0.03534,10.38,10.37,22.2,97 m -  220 m,a0487583
