Object,Close-Approach (CA) Date,CA Distance Nominal (LD | au),CA Distance Minimum (LD | au),V relative (km/s),V infinity (km/s),H (mag),Estimated Diameter,
(2005 VS),1900-Nov-06 22:43ξαξ2_11:13,7.51 | 0.01930,7.46 | 0.01917,7.62,7.61,22.2,97 m -  220 m,bK05V00S
(2011 YV62),1900-Nov-16 08:47ξαξξξξ00:12,13.94 | 0.03583,13.85 | 0.03558,18.77,18.76,21.3,150 m -  330 m,bK11Y62V
(2014 JV54),1900-Nov-22 17:17ξαξξξξ17:14,14.81 | 0.03806,14.45 | 0.03712,4.45,4.43,25.9,18 m -   39 m,bK14J54V
450300 (2004 QD14),1900-Nov-28 19:37ξαξξξξ00:23,11.94 | 0.03067,11.25 | 0.02892,11.06,11.06,20.5,210 m -  470 m,a0450300
(2011 WS74),1900-Dec-02 08:51ξαξξξξ00:02,10.09 | 0.02592,9.99 | 0.02568,13.01,13,23.9,44 m -   99 m,bK11W74S
199003 (2005 WJ56),1901-Jan-09 01:53ξαξ< 00:01,14.45 | 0.03712,14.44 | 0.03710,12.32,12.31,18.1,640 m -  1.4 km,a0199003
(2005 CJ),1901-Feb-05 03:33ξαξξξξ00:02,5.32 | 0.01368,5.32 | 0.01367,12.04,12.02,20.2,240 m -  540 m,bK05C00J
(2013 QU1),1901-Feb-17 06:26ξαξξξξ01:41,6.17 | 0.01585,6.00 | 0.01541,19.94,19.94,21.3,150 m -  330 m,bK13Q01U
410627 (2008 RG1),1901-Mar-03 23:48ξαξξξξ00:04,9.19 | 0.02362,9.15 | 0.02352,15.28,15.27,20.7,190 m -  430 m,a0410627
317255 (2002 DJ5),1901-Mar-29 16:41ξαξξξξ00:02,18.11 | 0.04653,18.09 | 0.04648,17.22,17.22,19.8,290 m -  650 m,a0317255
(2015 SO2),1901-Apr-01 10:49ξαξξξξ00:04,16.44 | 0.04225,16.42 | 0.04220,5.99,5.98,23.9,44 m -   99 m,bK15S02O
(2011 GK44),1901-Apr-08 14:33ξαξξξξ17:25,12.61 | 0.03239,9.15 | 0.02351,8.32,8.31,25.6,20 m -   45 m,bK11G44K
