Object Designation  ,Date (yyyy-mm-dd.dd),Distance (rEarth),Sigma Impact  ,Stretch LOV (rEarth),Sigma LOV  ,Impact Probability  ,Width (rEarth),Impact Energy (Mt),Palermo Scale  ,Torino Scale  ,
(2010 CA55),2021-07-08.67,4.46,0.606,3.26E+05,-2.29231,1.50E-08,5.72E+00,2.84E+02,-4.97,0,bK10C55A
(2007 WP3),2105-11-12.31,0.2,0,2.13E+05,-0.49576,3.20E-06,3.67E-03,1.42E+01,-4.99,0,bK07W03P
(2016 WN55),2037-09-13.36,156.07,0.714,2.33E+05,-0.49727,6.70E-09,2.17E+02,5.06E+03,-5,0,bK16W55N
(2008 UB7),2074-11-01.36,0.13,0,2.74E+05,0.84234,2.00E-06,7.71E-02,1.44E+01,-5.01,0,bK08U07B
(2008 UB7),2074-11-01.36,0.34,0,2.60E+05,0.84182,2.00E-06,7.48E-02,1.44E+01,-5.01,0,bK08U07B
(2016 WN55),2032-09-12.71,70.3,0.5,5.73E+05,-0.51459,4.80E-09,1.39E+02,5.25E+03,-5.01,0,bK16W55N
(2002 RB182),2110-09-27.22,0.22,0,5.35E+05,0.49898,1.30E-06,1.10E-01,4.34E+01,-5.03,0,bK02RI2B
99942 Apophis (2004 MN4),2105-04-13.77,0.92,0,3.33E+06,1.005,9.00E-08,< 1.e-04,1.15E+03,-5.03,0,a0099942
(1996 TC1),2067-09-26.21,0.49,0,5.36E+05,-0.02743,1.30E-06,1.67E-01,1.92E+01,-5.05,0,bJ96T01C
(2006 CM10),2092-08-12.48,0.17,0,6.31E+04,2.85473,1.80E-07,3.05E-02,3.57E+02,-5.05,0,bK06C10M
(2008 UB7),2070-11-01.41,0.73,0,2.93E+05,-0.44007,1.70E-06,1.56E-02,1.44E+01,-5.05,0,bK08U07B
(2015 BS516),2022-09-15.83,141.65,0.602,3.47E+05,-0.97437,3.20E-09,2.33E+02,2.12E+03,-5.05,0,bK15Bp6S
(2015 ME131),2022-08-18.69,10.18,0.015,7.00E+05,0.7427,8.70E-10,6.29E+02,1.05E+04,-5.05,0,bK15MD1E
(2017 FB1),2111-03-04.13,0.53,0,2.85E+05,0.99682,1.40E-06,2.06E-01,3.65E+01,-5.06,0,bK17F01B
(2002 RB182),2108-10-12.15,0.23,0,5.37E+05,-0.30798,1.30E-06,2.13E-01,3.59E+01,-5.07,0,bK02RI2B
(2007 FT3),2115-10-04.60,107.82,0.752,3.54E+04,-1.0717,4.20E-08,1.42E+02,2.77E+03,-5.09,0,bK07F03T
101955 Bennu (1999 RQ36),2194-09-24.72,0.35,0,9.19E+05,-2.141,1.60E-07,< 1.e-04,1.15E+03,-5.09,,a0101955
(2010 AU118),2075-10-20.96,34.93,0.061,3.17E+06,-0.56922,2.40E-10,5.52E+02,9.11E+05,-5.09,0,bK10AB8U
(2016 NL56),2032-08-26.03,25.84,0.963,1.62E+05,-0.61523,5.90E-08,2.58E+01,1.74E+02,-5.1,0,bK16N56L
(2016 NL56),2029-08-22.32,21.53,0.441,1.16E+05,-0.74745,6.20E-08,4.65E+01,1.23E+02,-5.1,0,bK16N56L
(2005 NX55),2018-01-06.78,153.27,1.646,1.91E+05,-1.69282,1.70E-09,9.25E+01,3.30E+02,-5.1,0,bK05N55X
(2008 UB7),2060-10-31.76,0.62,0,4.61E+04,2.20241,1.20E-06,5.48E-03,1.42E+01,-5.11,0,bK08U07B
(2006 JE),2106-05-02.31,0.56,0,4.34E+05,-0.02978,1.50E-06,7.00E-02,2.58E+01,-5.12,0,bK06J00E
(2016 WN55),2033-09-12.44,33.62,0.227,7.61E+05,-0.53463,3.80E-09,1.44E+02,5.48E+03,-5.12,0,bK16W55N
(2010 AU118),2060-10-19.93,163.71,0.258,3.80E+06,-0.59329,1.70E-10,6.32E+02,9.17E+05,-5.12,0,bK10AB8U
101955 Bennu (1999 RQ36),2198-09-24.93,0.88,0,1.01E+06,1.701,1.50E-07,< 1.e-04,1.15E+03,-5.13,,a0101955
